place,fips,date,dissolved_o2,water_temp
Arlington County,51013,2007-01-23,14.95,5.4
Arlington County,51013,2007-02-06,15.9,0.2
Arlington County,51013,2007-03-06,16,4.8
Arlington County,51013,2007-04-03,NA,14.4
Arlington County,51013,2007-05-15,9.2,21.7
Arlington County,51013,2007-06-12,10.6,25.9
Arlington County,51013,2007-07-17,8.966666666666667,23.433333333333334
Arlington County,51013,2007-08-14,7.3,27.9
Arlington County,51013,2007-09-11,6.5,26.9
Arlington County,51013,2007-10-09,8.25,21.7
Arlington County,51013,2007-11-19,12.2,9.4
Arlington County,51013,2007-12-04,11.6,5.8
Arlington County,51013,2008-01-08,12.93,7.336666666666667
Arlington County,51013,2008-02-05,15.25,6.09
Arlington County,51013,2008-03-11,12.46,8.91
Arlington County,51013,2008-04-22,10.97,13
Arlington County,51013,2008-05-20,9.08,16.49
Arlington County,51013,2008-06-17,7.9,26.4
Arlington County,51013,2008-07-15,8.1,23.3
Arlington County,51013,2008-08-19,8.21,26.33
Arlington County,51013,2008-09-09,8.43,24.16
Arlington County,51013,2008-10-14,9.030000000000001,16.53
Arlington County,51013,2008-11-04,11.17,11.4
Arlington County,51013,2008-12-09,13.08,2.95
Arlington County,51013,2009-01-06,11.99,5.1899999999999995
Arlington County,51013,2009-02-03,13.22,2.97
Arlington County,51013,2009-04-07,10.793333333333333,10.253333333333334
Arlington County,51013,2009-05-19,9.46,19.01
Arlington County,51013,2009-06-23,7.81,24.71
Arlington County,51013,2009-07-21,8.15,21.553333333333335
Arlington County,51013,2009-08-18,8.05,29.21
Arlington County,51013,2009-09-22,8.82,19.29
Arlington County,51013,2009-10-20,10.953333333333333,7.6066666666666665
Arlington County,51013,2009-11-03,10.77,10.8
Arlington County,51013,2010-01-05,13.335,2.16
Arlington County,51013,2010-04-06,11.32,12.350000000000001
Arlington County,51013,2010-06-15,7.91,24.03
Arlington County,51013,2010-07-20,7.676666666666667,21.81
Arlington County,51013,2010-08-17,8.3,23.86
Arlington County,51013,2010-09-14,8.98,22.2
Arlington County,51013,2010-10-12,8.673333333333334,17.62333333333333
Arlington County,51013,2010-11-02,10.82,11.54
Arlington County,51013,2011-01-04,12.965,3.455
Arlington County,51013,2011-04-05,10.103333333333333,11.82
Arlington County,51013,2011-05-10,13.42,18.29
Arlington County,51013,2011-06-14,7.47,26.34
Arlington County,51013,2011-07-19,7.510000000000001,24.753333333333334
Arlington County,51013,2011-08-09,6.96,28.59
Arlington County,51013,2011-09-20,8.59,19.26
Arlington County,51013,2011-10-18,9.623333333333333,15.753333333333334
Arlington County,51013,2011-11-08,11.78,9.87
Arlington County,51013,2011-12-06,11.96,9.1
Arlington County,51013,2011-12-09,12.5,8.1
Arlington County,51013,2012-01-17,12.43,5.6433333333333335
Arlington County,51013,2012-02-14,13.344999999999999,5.805
Arlington County,51013,2012-03-01,12.5,9.6
Arlington County,51013,2012-03-03,12.15,7.85
Arlington County,51013,2012-03-06,13.1,6.7
Arlington County,51013,2012-03-20,9.85,18.27
Arlington County,51013,2012-04-03,10.2,14.7
Arlington County,51013,2012-04-23,10.136666666666667,12.290000000000001
Arlington County,51013,2012-05-01,10.2,16
Arlington County,51013,2012-05-10,8.5,NA
Arlington County,51013,2012-05-15,8.21,23.28
Arlington County,51013,2012-05-24,8.3,22.6
Arlington County,51013,2012-06-05,7.7,22.1
Arlington County,51013,2012-06-12,7.77,25.74
Arlington County,51013,2012-06-14,8.2,26.3
Arlington County,51013,2012-06-19,7.8,23.9
Arlington County,51013,2012-07-09,5,31.6
Arlington County,51013,2012-07-17,7.2,NA
Arlington County,51013,2012-07-23,7.6,26.6
Arlington County,51013,2012-07-24,7.6866666666666665,24.226666666666667
Arlington County,51013,2012-08-07,6.8,29.9
Arlington County,51013,2012-08-14,6.4,28.2
Arlington County,51013,2012-08-20,8.19,25.42
Arlington County,51013,2012-08-21,7.3,25.4
Arlington County,51013,2012-09-11,7.8,24.2
Arlington County,51013,2012-09-18,8.48,22.33
Arlington County,51013,2012-09-20,8.8,20.7
Arlington County,51013,2012-10-16,9.43,14.876666666666667
Arlington County,51013,2012-10-18,8.9,15.3
Arlington County,51013,2012-10-31,13,10.9
Arlington County,51013,2012-11-01,12,9.9
Arlington County,51013,2012-11-02,12.4,9.9
Arlington County,51013,2012-11-06,12.32,7.81
Arlington County,51013,2012-12-04,13.2,6.9
Arlington County,51013,2013-01-08,13.6,3.3
Arlington County,51013,2013-01-16,11.7,6
Arlington County,51013,2013-01-18,13.9,5.2
Arlington County,51013,2013-02-01,13.5,4.8
Arlington County,51013,2013-02-05,14.1,2.7
Arlington County,51013,2013-02-19,13.2,3.8
Arlington County,51013,2013-02-28,13.4,6
Arlington County,51013,2013-03-05,13.6,4.7
Arlington County,51013,2013-03-14,12.9,7.4
Arlington County,51013,2013-03-19,12.7,6.3
Arlington County,51013,2013-04-04,12.4,8.1
Arlington County,51013,2013-04-16,10.2,15.8
Arlington County,51013,2013-04-20,10,16.1
Arlington County,51013,2013-05-02,9.2,16.9
Arlington County,51013,2013-05-09,9.8,17.5
Arlington County,51013,2013-05-14,10.6,16.9
Arlington County,51013,2013-06-04,7.3,NA
Arlington County,51013,2013-06-08,9,21.6
Arlington County,51013,2013-07-23,5.4,NA
Arlington County,51013,2013-08-06,8.1,NA
Arlington County,51013,2013-09-10,9.9,NA
Arlington County,51013,2013-11-27,13.5,4.2
Arlington County,51013,2013-12-03,14,NA
Arlington County,51013,2013-12-09,NA,4.8
Arlington County,51013,2014-01-13,14.6,NA
Arlington County,51013,2014-02-06,14.8,2.3
Arlington County,51013,2014-02-24,13.7,4.2
Arlington County,51013,2014-02-26,14.3,NA
