fips_id,place_name,state
10000,Delaware,DELAWARE
10001,Kent County,DELAWARE
10003,New Castle County,DELAWARE
10005,Sussex County,DELAWARE
11000,District of Columbia,DISTRICT OF COLUMBIA
11001,District of Columbia,DISTRICT OF COLUMBIA
24000,Maryland,MARYLAND
24001,Allegany County,MARYLAND
24003,Anne Arundel County,MARYLAND
24005,Baltimore County,MARYLAND
24009,Calvert County,MARYLAND
24011,Caroline County,MARYLAND
24013,Carroll County,MARYLAND
24015,Cecil County,MARYLAND
24017,Charles County,MARYLAND
24019,Dorchester County,MARYLAND
24021,Frederick County,MARYLAND
24023,Garrett County,MARYLAND
24025,Harford County,MARYLAND
24027,Howard County,MARYLAND
24029,Kent County,MARYLAND
24031,Montgomery County,MARYLAND
24033,Prince George,MARYLAND
24035,Queen Anne,MARYLAND
24037,St. Mary,MARYLAND
24039,Somerset County,MARYLAND
24041,Talbot County,MARYLAND
24043,Washington County,MARYLAND
24045,Wicomico County,MARYLAND
24047,Worcester County,MARYLAND
24510,Baltimore city,MARYLAND
51000,Virginia,VIRGINIA
51001,Accomack County,VIRGINIA
51003,Albemarle County,VIRGINIA
51005,Alleghany County,VIRGINIA
51007,Amelia County,VIRGINIA
51009,Amherst County,VIRGINIA
51011,Appomattox County,VIRGINIA
51013,Arlington County,VIRGINIA
51015,Augusta County,VIRGINIA
51017,Bath County,VIRGINIA
51019,Bedford County,VIRGINIA
51021,Bland County,VIRGINIA
51023,Botetourt County,VIRGINIA
51025,Brunswick County,VIRGINIA
51027,Buchanan County,VIRGINIA
51029,Buckingham County,VIRGINIA
51031,Campbell County,VIRGINIA
51033,Caroline County,VIRGINIA
51035,Carroll County,VIRGINIA
51036,Charles City County,VIRGINIA
51037,Charlotte County,VIRGINIA
51041,Chesterfield County,VIRGINIA
51043,Clarke County,VIRGINIA
51045,Craig County,VIRGINIA
51047,Culpeper County,VIRGINIA
51049,Cumberland County,VIRGINIA
51051,Dickenson County,VIRGINIA
51053,Dinwiddie County,VIRGINIA
51057,Essex County,VIRGINIA
51059,Fairfax County,VIRGINIA
51061,Fauquier County,VIRGINIA
51063,Floyd County,VIRGINIA
51065,Fluvanna County,VIRGINIA
51067,Franklin County,VIRGINIA
51069,Frederick County,VIRGINIA
51071,Giles County,VIRGINIA
51073,Gloucester County,VIRGINIA
51075,Goochland County,VIRGINIA
51077,Grayson County,VIRGINIA
51079,Greene County,VIRGINIA
51081,Greensville County,VIRGINIA
51083,Halifax County,VIRGINIA
51085,Hanover County,VIRGINIA
51087,Henrico County,VIRGINIA
51089,Henry County,VIRGINIA
51091,Highland County,VIRGINIA
51093,Isle of Wight County,VIRGINIA
51095,James City County,VIRGINIA
51097,King and Queen County,VIRGINIA
51099,King George County,VIRGINIA
51101,King William County,VIRGINIA
51103,Lancaster County,VIRGINIA
51105,Lee County,VIRGINIA
51107,Loudoun County,VIRGINIA
51109,Louisa County,VIRGINIA
51111,Lunenburg County,VIRGINIA
51113,Madison County,VIRGINIA
51115,Mathews County,VIRGINIA
51117,Mecklenburg County,VIRGINIA
51119,Middlesex County,VIRGINIA
51121,Montgomery County,VIRGINIA
51125,Nelson County,VIRGINIA
51127,New Kent County,VIRGINIA
51131,Northampton County,VIRGINIA
51133,Northumberland County,VIRGINIA
51135,Nottoway County,VIRGINIA
51137,Orange County,VIRGINIA
51139,Page County,VIRGINIA
51141,Patrick County,VIRGINIA
51143,Pittsylvania County,VIRGINIA
51145,Powhatan County,VIRGINIA
51147,Prince Edward County,VIRGINIA
51149,Prince George County,VIRGINIA
51153,Prince William County,VIRGINIA
51155,Pulaski County,VIRGINIA
51157,Rappahannock County,VIRGINIA
51159,Richmond County,VIRGINIA
51161,Roanoke County,VIRGINIA
51163,Rockbridge County,VIRGINIA
51165,Rockingham County,VIRGINIA
51167,Russell County,VIRGINIA
51169,Scott County,VIRGINIA
51171,Shenandoah County,VIRGINIA
51173,Smyth County,VIRGINIA
51175,Southampton County,VIRGINIA
51177,Spotsylvania County,VIRGINIA
51179,Stafford County,VIRGINIA
51181,Surry County,VIRGINIA
51183,Sussex County,VIRGINIA
51185,Tazewell County,VIRGINIA
51187,Warren County,VIRGINIA
51191,Washington County,VIRGINIA
51193,Westmoreland County,VIRGINIA
51195,Wise County,VIRGINIA
51197,Wythe County,VIRGINIA
51199,York County,VIRGINIA
51510,Alexandria city,VIRGINIA
51515,Bedford city,VIRGINIA
51520,Bristol city,VIRGINIA
51530,Buena Vista city,VIRGINIA
51540,Charlottesville city,VIRGINIA
51550,Chesapeake city,VIRGINIA
51560,Clifton Forge city,VIRGINIA
51570,Colonial Heights city,VIRGINIA
51580,Covington city,VIRGINIA
51590,Danville city,VIRGINIA
51595,Emporia city,VIRGINIA
51600,Fairfax city,VIRGINIA
51610,Falls Church city,VIRGINIA
51620,Franklin city,VIRGINIA
51630,Fredericksburg city,VIRGINIA
51640,Galax city,VIRGINIA
51650,Hampton city,VIRGINIA
51660,Harrisonburg city,VIRGINIA
51670,Hopewell city,VIRGINIA
51678,Lexington city,VIRGINIA
51680,Lynchburg city,VIRGINIA
51683,Manassas city,VIRGINIA
51685,Manassas Park city,VIRGINIA
51690,Martinsville city,VIRGINIA
51700,Newport News city,VIRGINIA
51710,Norfolk city,VIRGINIA
51720,Norton city,VIRGINIA
51730,Petersburg city,VIRGINIA
